text,label,source,category,notes
"Student portal reminder: course registration closes Friday at 5 PM.",legitimate,synthetic,student_portal,"Generic campus notice; no real student data."
"Workplace notice: the office network maintenance window starts at 9 PM.",legitimate,synthetic,workplace_notice,"Generic internal maintenance example."
"Cloud storage notice: your shared class folder was updated by the project team.",legitimate,synthetic,cloud_storage,"Safe generic collaboration notice."
"Account notice: your profile settings were updated successfully in the official app.",legitimate,synthetic,account_notice,"Benign account notification."
"Refund update: your approved campus fee refund will appear in the official portal.",legitimate,synthetic,fake_refund,"Legitimate-style refund notice without links."
"Attachment notice: the instructor uploaded the weekly lab instructions to the course portal.",legitimate,synthetic,fake_attachment,"Benign attachment-style notification."
"OTP reminder: never share your one-time passcode with anyone, including support staff.",legitimate,synthetic,otp_theft,"Security education example."
"Team reminder: submit project slides through the official classroom portal before noon.",legitimate,synthetic,student_portal,"Generic classroom workflow."
"Credential verification required: reply with your username and password to keep access.",phishing,synthetic,credential_theft,"Synthetic credential theft wording."
"Your mailbox will be disabled today unless you enter your password on this external page.",phishing,synthetic,credential_theft,"Synthetic urgent credential lure."
"One-time passcode check: send us your OTP immediately to stop account closure.",phishing,synthetic,otp_theft,"Synthetic OTP theft lure."
"Refund approved: provide card details and banking PIN through the attached form.",phishing,synthetic,fake_refund,"Synthetic refund scam wording."
"Open the attached payment document and enable macros to view your invoice.",phishing,synthetic,fake_attachment,"Synthetic unsafe attachment lure."
"Cloud drive locked: verify your password through the unknown file-sharing link.",phishing,synthetic,cloud_storage,"Synthetic cloud storage phishing lure."
"Student portal locked: confirm your login details now or lose semester access.",phishing,synthetic,student_portal,"Synthetic student portal lure."
"Workplace security alert: approve a login by sharing your recovery code in chat.",phishing,synthetic,workplace_notice,"Synthetic workplace social-engineering lure."
